                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.55637,                 0.3305,                0.79815,                0.90352,                0.54606,                0.61725,                0.43726,                 0.9576,                0.58878,                0.83315,             0.00048956,             0.00048956,             0.00048956
                    116,                0.56883,                0.34233,                0.79846,                0.91696,                0.54039,                0.62642,                 0.4418,                0.98337,                0.57844,                0.83371,             0.00048406,             0.00048406,             0.00048406
                    117,                 0.5767,                0.33814,                0.79497,                0.89238,                0.56355,                0.63022,                0.44145,                0.98311,                0.58947,                0.83605,             0.00047856,             0.00047856,             0.00047856
                    118,                0.55381,                0.32786,                0.79459,                0.91907,                0.54829,                0.61496,                0.43624,                0.98553,                0.58442,                0.83649,             0.00047306,             0.00047306,             0.00047306
                    119,                0.55058,                0.31739,                0.79182,                0.92681,                0.53819,                 0.6244,                0.44222,                0.97682,                0.57699,                0.83087,             0.00046756,             0.00046756,             0.00046756
                    120,                0.55028,                0.33525,                0.79392,                0.91413,                0.54316,                0.61982,                0.43902,                0.99013,                0.60696,                0.83719,             0.00046206,             0.00046206,             0.00046206
                    121,                0.57623,                0.33919,                0.79648,                0.91293,                0.54108,                0.62516,                0.44449,                0.96695,                0.57732,                0.83717,             0.00045657,             0.00045657,             0.00045657
                    122,                0.57527,                0.33527,                0.80045,                0.92642,                0.53571,                0.62521,                0.44219,                0.94921,                0.56766,                0.83128,             0.00045107,             0.00045107,             0.00045107
                    123,                0.55018,                0.31888,                0.79224,                0.92405,                0.53866,                0.62998,                0.44289,                0.96876,                0.57553,                0.83456,             0.00044557,             0.00044557,             0.00044557
                    124,                0.54614,                0.30994,                0.78972,                0.90455,                0.55358,                0.63101,                0.44374,                0.98517,                0.57453,                0.83363,             0.00044007,             0.00044007,             0.00044007
                    125,                0.54509,                0.31283,                0.79372,                0.91592,                0.53194,                0.62565,                0.43711,                0.97044,                 0.5781,                0.83252,             0.00043457,             0.00043457,             0.00043457
                    126,                0.54243,                0.31424,                0.79348,                  0.931,                0.52322,                0.62838,                0.44476,                0.94898,                0.57281,                0.82998,             0.00042907,             0.00042907,             0.00042907
                    127,                0.54435,                0.31268,                0.79211,                0.92292,                0.55354,                0.63014,                0.44929,                0.95103,                0.56807,                0.82929,             0.00042357,             0.00042357,             0.00042357
                    128,                 0.5433,                0.31045,                0.79169,                0.90411,                0.55843,                0.63326,                0.44839,                0.95179,                0.56648,                0.82876,             0.00041807,             0.00041807,             0.00041807
                    129,                0.53467,                0.32731,                0.79308,                0.93527,                0.51793,                0.62425,                0.44429,                  0.958,                0.58945,                0.82948,             0.00041257,             0.00041257,             0.00041257
                    130,                0.54193,                 0.3223,                0.78841,                0.90903,                0.54082,                0.62723,                0.44882,                0.97368,                0.57156,                0.83422,             0.00040707,             0.00040707,             0.00040707
                    131,                 0.5454,                0.31585,                0.79495,                0.92815,                0.52783,                0.61652,                0.43938,                0.96491,                0.56189,                 0.8306,             0.00040157,             0.00040157,             0.00040157
                    132,                0.54011,                0.31706,                0.78954,                 0.9276,                0.52544,                0.61551,                0.43554,                0.99061,                0.57321,                0.82994,             0.00039607,             0.00039607,             0.00039607
                    133,                0.55104,                0.31577,                0.79428,                0.91786,                0.53698,                0.61677,                0.43789,                0.95907,                0.56655,                0.82954,             0.00039057,             0.00039057,             0.00039057
                    134,                0.53591,                0.30875,                0.78645,                0.90776,                0.54187,                 0.6174,                0.44043,                0.97113,                0.56873,                 0.8331,             0.00038507,             0.00038507,             0.00038507
                    135,                 0.5339,                0.30954,                0.78978,                0.92483,                0.53424,                0.62221,                0.44177,                0.97865,                0.58445,                0.83542,             0.00037957,             0.00037957,             0.00037957
                    136,                0.52842,                0.30633,                0.79515,                0.90942,                0.54596,                0.62033,                0.43968,                0.97607,                0.56614,                0.83456,             0.00037407,             0.00037407,             0.00037407
                    137,                0.54441,                0.30913,                0.79353,                0.91015,                0.55061,                 0.6252,                0.44272,                0.94975,                0.55993,                 0.8318,             0.00036857,             0.00036857,             0.00036857
                    138,                0.53974,                 0.3108,                0.79179,                0.92329,                0.54918,                0.62003,                0.44455,                0.94351,                 0.5632,                0.83121,             0.00036307,             0.00036307,             0.00036307
                    139,                0.52878,                0.31013,                0.78971,                0.92042,                0.54835,                0.62138,                0.44441,                0.96451,                0.57935,                0.83398,             0.00035758,             0.00035758,             0.00035758
                    140,                0.52808,                0.30709,                0.80023,                0.91469,                0.54003,                0.62638,                0.44217,                0.95833,                0.57553,                0.83213,             0.00035208,             0.00035208,             0.00035208
                    141,                0.53178,                0.31824,                0.79068,                0.91896,                 0.5434,                0.62655,                0.44384,                 0.9579,                0.56955,                  0.833,             0.00034658,             0.00034658,             0.00034658
                    142,                0.54115,                0.31704,                0.79587,                0.92615,                0.53822,                 0.6276,                0.44329,                0.97727,                0.58612,                0.83731,             0.00034108,             0.00034108,             0.00034108
                    143,                0.52514,                0.30227,                0.78976,                0.92974,                0.55037,                0.62536,                0.44126,                 0.9714,                0.57537,                0.83429,             0.00033558,             0.00033558,             0.00033558
                    144,                0.53651,                0.31701,                0.79304,                0.91632,                0.54486,                0.62225,                0.43739,                0.96653,                0.59308,                0.83515,             0.00033008,             0.00033008,             0.00033008
                    145,                0.53111,                0.30412,                0.79349,                0.92492,                0.55317,                0.62317,                0.44521,                0.97901,                0.59604,                0.83438,             0.00032458,             0.00032458,             0.00032458
                    146,                0.51152,                0.30578,                0.78802,                0.93394,                0.52508,                0.62787,                0.44309,                0.97758,                0.60031,                0.83347,             0.00031908,             0.00031908,             0.00031908
                    147,                0.51753,                0.30906,                0.79281,                0.92595,                0.54889,                0.62487,                0.44067,                0.98515,                0.58422,                0.83399,             0.00031358,             0.00031358,             0.00031358
                    148,                0.52564,                0.31225,                0.79095,                0.90354,                0.54933,                0.62445,                0.44526,                0.97852,                0.59752,                0.83622,             0.00030808,             0.00030808,             0.00030808
                    149,                 0.5265,                0.31406,                0.78824,                0.91968,                0.54035,                0.62116,                0.43293,                 1.0197,                0.63103,                0.83977,             0.00030258,             0.00030258,             0.00030258
                    150,                0.52774,                 0.3027,                0.79185,                0.92137,                0.54799,                0.62004,                0.43907,                 1.0059,                0.60607,                0.83674,             0.00029708,             0.00029708,             0.00029708
                    151,                0.51819,                0.30118,                0.78875,                0.90849,                0.55756,                0.63132,                0.44463,                 0.9894,                0.59994,                0.83391,             0.00029158,             0.00029158,             0.00029158
                    152,                0.50895,                0.29228,                0.78959,                0.90041,                0.55305,                0.62366,                0.44334,                0.98118,                0.57931,                0.83427,             0.00028608,             0.00028608,             0.00028608
                    153,                0.51613,                0.29433,                 0.7935,                0.92394,                 0.5455,                  0.629,                0.44455,                0.96596,                0.57334,                0.83164,             0.00028058,             0.00028058,             0.00028058
                    154,                 0.5006,                0.29485,                0.78615,                0.93953,                0.54074,                0.62215,                0.44482,                0.95919,                0.58589,                0.82876,             0.00027508,             0.00027508,             0.00027508
                    155,                0.49795,                0.29273,                0.79076,                0.91612,                 0.5439,                0.62107,                0.44221,                0.97816,                0.58113,                  0.832,             0.00026958,             0.00026958,             0.00026958
                    156,                0.50344,                0.29646,                0.78949,                0.90132,                0.54976,                0.61968,                0.43948,                0.97788,                0.57932,                0.83368,             0.00026408,             0.00026408,             0.00026408
