               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.027223,          0.00071988,           0.0030601,             0.71924,             0.42611,             0.47203,             0.31293,            0.011315,           0.0019624,           0.0030865,           0.0015259,           0.0015259,           0.0015259
                  66,            0.027278,          0.00073139,           0.0030603,             0.72532,             0.42498,             0.47181,             0.31319,            0.011305,           0.0019649,           0.0030951,           0.0014976,           0.0014976,           0.0014976
                  67,            0.027032,          0.00072092,           0.0030419,             0.72534,              0.4252,              0.4715,             0.31302,            0.011305,           0.0019695,           0.0031013,           0.0014692,           0.0014692,           0.0014692
                  68,            0.027136,          0.00072476,           0.0030407,             0.72149,             0.42468,             0.47131,             0.31305,            0.011305,           0.0019732,            0.003115,           0.0014409,           0.0014409,           0.0014409
                  69,            0.027137,           0.0007167,           0.0029799,             0.71593,              0.4253,              0.4712,              0.3128,            0.011305,           0.0019746,           0.0031294,           0.0014125,           0.0014125,           0.0014125
                  70,            0.027171,          0.00071948,           0.0030306,             0.71543,             0.42512,             0.47111,             0.31273,            0.011303,           0.0019728,           0.0031417,           0.0013842,           0.0013842,           0.0013842
                  71,               0.027,          0.00071359,           0.0030155,             0.72088,             0.42579,             0.47079,             0.31258,            0.011302,           0.0019712,           0.0031555,           0.0013559,           0.0013559,           0.0013559
                  72,            0.026993,          0.00071405,           0.0029706,             0.72787,             0.42405,             0.47047,             0.31233,            0.011306,            0.001972,            0.003173,           0.0013275,           0.0013275,           0.0013275
                  73,            0.026999,           0.0007148,           0.0029678,             0.72953,             0.42426,             0.47119,             0.31256,             0.01131,           0.0019722,           0.0031659,           0.0012992,           0.0012992,           0.0012992
                  74,            0.026931,          0.00071133,           0.0029982,             0.72745,             0.42359,             0.47184,             0.31247,            0.011316,           0.0019766,           0.0031678,           0.0012708,           0.0012708,           0.0012708
                  75,             0.02697,          0.00071493,           0.0029826,             0.72153,             0.42423,             0.47174,             0.31257,            0.011319,           0.0019792,           0.0031692,           0.0012425,           0.0012425,           0.0012425
                  76,            0.026989,          0.00072017,           0.0030252,             0.72644,             0.42461,             0.47298,             0.31333,            0.011326,           0.0019804,           0.0031528,           0.0012141,           0.0012141,           0.0012141
                  77,            0.026905,           0.0007055,           0.0029471,             0.72667,             0.42444,              0.4746,             0.31464,            0.011316,           0.0019756,           0.0031385,           0.0011858,           0.0011858,           0.0011858
                  78,            0.026924,          0.00071129,           0.0029687,             0.72611,             0.42567,             0.47506,             0.31506,            0.011319,           0.0019746,           0.0031216,           0.0011574,           0.0011574,           0.0011574
                  79,            0.026732,          0.00070227,           0.0029469,             0.72956,             0.42597,             0.47651,             0.31555,             0.01133,           0.0019758,           0.0031068,           0.0011291,           0.0011291,           0.0011291
                  80,            0.026703,           0.0007012,           0.0029447,             0.73688,             0.42648,             0.47701,             0.31557,            0.011328,            0.001977,           0.0031104,           0.0011008,           0.0011008,           0.0011008
                  81,            0.026794,          0.00070804,           0.0029314,              0.7344,             0.42735,             0.47668,             0.31571,            0.011329,           0.0019771,           0.0031135,           0.0010724,           0.0010724,           0.0010724
                  82,            0.026802,          0.00070238,           0.0029548,             0.72709,             0.42713,              0.4768,             0.31585,            0.011328,           0.0019779,           0.0031232,           0.0010441,           0.0010441,           0.0010441
                  83,            0.026784,          0.00070404,           0.0029666,             0.72349,             0.42887,             0.47647,              0.3156,            0.011323,           0.0019766,           0.0031268,           0.0010157,           0.0010157,           0.0010157
                  84,            0.026615,          0.00069665,           0.0029385,             0.72241,             0.42836,             0.47698,             0.31569,            0.011307,           0.0019782,           0.0031419,          0.00098737,          0.00098737,          0.00098737
                  85,            0.026764,          0.00069767,           0.0029557,             0.72482,             0.42791,             0.47703,             0.31567,            0.011309,            0.001981,           0.0031683,          0.00095903,          0.00095903,          0.00095903
                  86,            0.026705,          0.00069907,           0.0029529,              0.7231,             0.42815,             0.47721,             0.31588,            0.011293,           0.0019807,            0.003187,          0.00093068,          0.00093068,          0.00093068
                  87,            0.026719,          0.00069591,           0.0029355,             0.72066,             0.42943,             0.47713,             0.31597,            0.011302,           0.0019815,            0.003199,          0.00090234,          0.00090234,          0.00090234
